year,Media n20,Media sf6,Media co2,Media ch4
2001,316.36,4.78,371.32,1771.24
2002,316.94,4.98,373.45,1772.69
2003,317.63,5.23,375.98,1777.31
2004,318.26,5.45,377.7,1777.03
2005,318.91,5.67,379.98,1774.14
2006,319.82,5.91,382.09,1774.93
2007,320.44,6.18,384.02,1781.39
2008,321.5,6.46,385.83,1787.0
2009,322.27,6.75,387.64,1793.54
2010,323.19,7.04,390.1,1798.89
2011,324.21,7.3,391.85,1803.11
2012,325.05,7.6,394.06,1808.03
2013,325.94,7.91,396.74,1813.4
2014,327.08,8.25,398.81,1822.61
2015,328.17,8.58,401.01,1834.25
2016,328.95,8.91,404.41,1843.12
2017,329.74,9.26,406.76,1849.67
2018,330.9,9.6,408.72,1857.31
2019,331.88,9.94,411.66,1866.59
2020,333.03,10.27,414.24,1878.93
2021,334.31,10.63,416.45,1895.32
1998,,4.21,366.84,1765.54
1999,,4.38,368.54,1772.39
2000,,4.58,369.71,1773.37
1959,,,315.98,
1960,,,316.91,
1961,,,317.64,
1962,,,318.45,
1963,,,318.99,
1964,,,319.62,
1965,,,320.04,
1966,,,321.37,
1967,,,322.18,
1968,,,323.05,
1969,,,324.62,
1970,,,325.68,
1971,,,326.32,
1972,,,327.46,
1973,,,329.68,
1974,,,330.19,
1975,,,331.12,
1976,,,332.03,
1977,,,333.84,
1978,,,335.41,
1979,,,336.84,
1980,,,338.76,
1981,,,340.12,
1982,,,341.48,
1983,,,343.15,
1984,,,344.85,1644.69
1985,,,346.35,1657.28
1986,,,347.61,1670.08
1987,,,349.31,1682.71
1988,,,351.69,1693.19
1989,,,353.2,1704.54
1990,,,354.45,1714.42
1991,,,355.7,1724.84
1992,,,356.54,1735.51
1993,,,357.21,1736.49
1994,,,358.96,1742.06
1995,,,360.97,1748.8
1996,,,362.74,1751.46
1997,,,363.88,1754.54
