País,Indice Objetivos de Desarrollo Sostenible(ODS),Expectativa de vida,Indice de Desarrollo Humano (HDI),PiB Per Capita ,Grupo de Ingresos,Población (millones),Huella de Carbono ,Huella Ecológica,Biocapacidad,Tierra
Afghanistan,"53,9",64.0,"0,51",565,Bajos," 37,2 ","0,2","1,2","0,3","0,4"
Albania,"71,0",78.0,"0,79",5.046,Medios-Altos," 2,9 ","1,5","3,3","1,0","1,2"
Algeria,"70,9",77.0,"0,75",4.760,Medios-Altos," 42,2 ","2,5","4,0","0,6","1,5"
Angola,"50,3",61.0,"0,58",3.234,Bajos-Medios," 30,8 ","0,4","1,5","1,8","0,5"
Antigua and Barbuda,,77.0,"0,77",15.135,Altos," 0,1 ","0,0","6,6","0,9","2,9"
Argentina,"72,8",77.0,"0,84",10.076,Medios-Altos," 44,4 ","2,6","8,4","6,2","2,1"
Armenia,"71,8",75.0,"0,77",4.407,Bajos-Medios," 3,0 ","1,6","3,2","0,6","1,2"
Australia,"75,6",83.0,"0,94",57.032,Altos," 24,9 ","10,1","17,9","11,5","4,5"
Austria,"82,1",82.0,"0,92",49.711,Altos," 8,9 ","6,4","10,7","2,7","3,8"
Azerbaijan,"72,4",73.0,"0,75",5.795,Medios-Altos," 9,9 ","2,2","3,9","0,8","1,3"
Bahamas,,74.0,"0,81",28.846,Altos," 0,4 ","4,8","6,2","9,2","2,7"
Bahrain,"66,1",77.0,"0,85",21.478,Altos," 1,6 ","14,1","15,5","0,5","5,2"
Bangladesh,"63,5",72.0,"0,63",1.202,Bajos," 161,4 ","0,5","1,5","0,4","0,6"
Barbados,"68,4",79.0,"0,81",16.137,Altos," 0,3 ","4,3","5,9","0,2","2,5"
Belarus,"78,8",74.0,"0,82",6.608,Medios-Altos," 9,5 ","4,4","9,5","2,9","2,8"
Belgium,"82,2",82.0,"0,93",46.768,Altos," 11,5 ","7,5","10,5","0,8","4,3"
Belize,"64,4",74.0,"0,71",4.217,Medios-Altos," 0,4 ","2,0","14,4","3,5","5,0"
Benin,"49,9",61.0,"0,54",1.211,Bajos," 11,5 ","0,6","2,8","0,9","1,0"
Bhutan,"70,0",71.0,"0,65",3.129,Bajos-Medios," 0,8 ","2,0","9,4","5,0","3,3"
Bolivia,"67,6",71.0,"0,71",2.560,Bajos-Medios," 11,4 ","1,4","6,3","14,2","2,0"
