anio,pais,combustible,continente,Idanio,Idpais,Idcombustible,Idcontinente
2001,Afghanistan,Biomass,Asia,d0fb963ff976f9c37fc81fe03c21ea7b,6e9767f4f15357401b148b9a8ced14ef,57a34c10edc9db4cc4fbfc06367285f8,154a67340e8c14dd5253dc4ff6120197
2002,Albania,Coal,Europe,4ba29b9f9e5732ed33761840f4ba6c53,c420ddff824a5c0eec70dd23d62496bc,ff8cfc4e6a79e6514be2533a5f5506ad,912d59cdf1d3f551fae21f6f0062258f
2003,Algeria,Cogeneration,Africa,a591024321c5e2bdbd23ed35f0574dde,575b9408b6daa2ddcefbcf6d81c9b4c9,be8c640ab7313b88c232af9328ebf5a8,f5cd262901883dff68d06b215fb0f28e
2004,American Samoa,Gas,Oceania,b8b4b727d6f5d1b61fff7be687f7970f,b86f99753a08d00fa3ca946d07ecac29,635459702f9817de29e608fa3395637c,2d8836190888267b97ce332cad2aa247
2005,Angola,Geothermal,nan,d47268e9db2e9aa3827bba3afb7ff94a,232bf11cb81bcdb269f76a08fde8b947,3f3f7ddaa26a792f9707f4de5f077cf3,a3d2de7675556553a5f08e4c88d2c228
2006,Antarctica,Hydro,North America,ea5a486c712a91e48443cd802642223d,44b439ba9975f8e802b456777c54a854,d39272062cb0972db88531c24f5cc664,5ffec2d87ab548202f8b549af380913a
2007,Antigua and Barbuda,Nuclear,South America,a00e5eb0973d24649a4a920fc53d9564,f7e68bf0791888ebcd5bfc62e022aa83,c49e6d739a7a7356e88aa84503666ee9,aab422acb3d2334a6deca0e1495745c2
2008,Argentina,Oil,None,ef8446f35513a8d6aa2308357a268a7e,3536be57ce0713954e454ae6c53ec023,2e69df5961f20aee0897cf1905156344,6adf97f83acf6453d4a6a4b1070f3754
2009,Armenia,Other,None,f1981e4bd8a0d6d8462016d2fc6276b3,a00c273f0f497484093fa94865cf5ca5,6311ae17c1ee52b36e68aaf4ad066387,6adf97f83acf6453d4a6a4b1070f3754
2010,Aruba,Petcoke,None,d7a84628c025d30f7b2c52c958767e76,4893b64051cf425047ddd8606dae25f4,35da6b9bd3f02f14357449b47dadb6ed,6adf97f83acf6453d4a6a4b1070f3754
