year,iso_code,petroleo,carbon,gas,nuclear,hidraulica,solar,eolica,otras_renovables
1980.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992.0,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
