id,informacion_id,codigo,anio,petroleo,carbon,gas,nuclear,hidraulica,solar,eolica,otras_renovables
1,1,AFG,2000.0,,,,,,,,
2,2,AFG,2001.0,,,,,,,,
3,3,AFG,2002.0,,,,,,,,
4,4,AFG,2003.0,,,,,,,,
5,5,AFG,2004.0,,,,,,,,
6,6,AFG,2005.0,,,,,,,,
7,7,AFG,2006.0,,,,,,,,
8,8,AFG,2007.0,,,,,,,,
9,9,AFG,2008.0,,,,,,,,
10,10,AFG,2009.0,,,,,,,,
11,11,AFG,2010.0,,,,,,,,
12,12,AFG,2011.0,,,,,,,,
13,13,AFG,2012.0,,,,,,,,
14,14,AFG,2013.0,,,,,,,,
15,15,AFG,2014.0,,,,,,,,
16,16,AFG,2015.0,,,,,,,,
17,17,AFG,2016.0,,,,,,,,
18,18,AFG,2017.0,,,,,,,,
19,19,AFG,2018.0,,,,,,,,
20,20,AFG,2019.0,,,,,,,,
21,21,AFG,2020.0,,,,,,,,
22,22,AGO,2000.0,,,,,,,,
23,23,AGO,2001.0,,,,,,,,
24,24,AGO,2002.0,,,,,,,,
25,25,AGO,2003.0,,,,,,,,
26,26,AGO,2004.0,,,,,,,,
27,27,AGO,2005.0,,,,,,,,
28,28,AGO,2006.0,,,,,,,,
29,29,AGO,2007.0,,,,,,,,
30,30,AGO,2008.0,,,,,,,,
31,31,AGO,2009.0,,,,,,,,
32,32,AGO,2010.0,,,,,,,,
33,33,AGO,2011.0,,,,,,,,
34,34,AGO,2012.0,,,,,,,,
35,35,AGO,2013.0,,,,,,,,
36,36,AGO,2014.0,,,,,,,,
37,37,AGO,2015.0,,,,,,,,
38,38,AGO,2016.0,,,,,,,,
39,39,AGO,2017.0,,,,,,,,
40,40,AGO,2018.0,,,,,,,,
41,41,AGO,2019.0,,,,,,,,
42,42,AGO,2020.0,,,,,,,,
43,43,AGO,2021.0,,,,,,,,
44,44,ALB,2000.0,,,,,,,,
45,45,ALB,2001.0,,,,,,,,
46,46,ALB,2002.0,,,,,,,,
47,47,ALB,2003.0,,,,,,,,
48,48,ALB,2004.0,,,,,,,,
49,49,ALB,2005.0,,,,,,,,
50,50,ALB,2006.0,,,,,,,,
51,51,ALB,2007.0,,,,,,,,
52,52,ALB,2008.0,,,,,,,,
53,53,ALB,2009.0,,,,,,,,
54,54,ALB,2010.0,,,,,,,,
55,55,ALB,2011.0,,,,,,,,
56,56,ALB,2012.0,,,,,,,,
57,57,ALB,2013.0,,,,,,,,
58,58,ALB,2014.0,,,,,,,,
59,59,ALB,2015.0,,,,,,,,
60,60,ALB,2016.0,,,,,,,,
61,61,ALB,2017.0,,,,,,,,
62,62,ALB,2018.0,,,,,,,,
63,63,ALB,2019.0,,,,,,,,
64,64,ALB,2020.0,,,,,,,,
65,65,ARE,2000.0,229.339,0.0,306.443,0.0,0.0,0.0,0.0,0.0
66,66,ARE,2001.0,226.621,0.215,314.73,0.0,0.0,0.0,0.0,0.0
67,67,ARE,2002.0,235.307,1.096,355.29,0.0,0.0,0.0,0.0,0.0
68,68,ARE,2003.0,260.535,1.29,369.33,0.0,0.0,0.0,0.0,0.0
69,69,ARE,2004.0,281.556,1.462,392.047,0.0,0.0,0.0,0.0,0.0
70,70,ARE,2005.0,292.919,1.691,409.987,0.0,0.0,0.0,0.0,0.0
71,71,ARE,2006.0,315.258,3.275,422.76,0.0,0.0,0.0,0.0,0.0
72,72,ARE,2007.0,337.402,1.577,479.382,0.0,0.0,0.0,0.0,0.0
73,73,ARE,2008.0,354.688,3.992,579.721,0.0,0.0,0.0,0.0,0.0
74,74,ARE,2009.0,346.492,3.185,575.881,0.0,0.0,0.018,0.0,0.0
75,75,ARE,2010.0,372.071,7.653,592.716,0.0,0.0,0.051,0.0,0.0
76,76,ARE,2011.0,399.339,5.174,616.361,0.0,0.0,0.057,0.0,0.0
77,77,ARE,2012.0,418.649,16.077,639.307,0.0,0.0,0.066,0.0,0.0
78,78,ARE,2013.0,464.93,20.581,647.496,0.0,0.0,0.233,0.004,0.0
79,79,ARE,2014.0,463.559,22.946,634.35,0.0,0.0,0.836,0.008,0.019
80,80,ARE,2015.0,495.46,19.942,714.705,0.0,0.0,0.833,0.004,0.019
81,81,ARE,2016.0,542.725,21.406,719.31,0.0,0.0,0.842,0.0,0.019
82,82,ARE,2017.0,537.45,24.76,724.583,0.0,0.0,1.967,0.0,0.019
83,83,ARE,2018.0,533.781,22.332,712.132,0.0,0.0,3.462,0.0,0.019
84,84,ARE,2019.0,520.458,22.995,709.865,0.0,0.0,9.984,0.0,0.019
85,85,ARE,2020.0,448.826,21.985,696.229,4.092,0.0,11.99,0.0,0.019
86,86,ARE,2021.0,503.294,20.533,694.114,26.476,,13.461,0.0,0.019
87,87,ARG,2000.0,264.898,7.513,322.967,17.527,84.497,0.0,0.103,1.232
88,88,ARG,2001.0,245.295,6.157,302.35,19.9,107.465,0.0,0.145,1.159
89,89,ARG,2002.0,232.815,4.586,294.376,16.304,104.433,0.0,0.214,1.692
90,90,ARG,2003.0,237.422,5.594,336.29,21.056,98.026,0.0,0.226,2.811
91,91,ARG,2004.0,254.686,9.52,368.091,21.76,87.782,0.0,0.209,2.769
92,92,ARG,2005.0,266.758,10.962,392.89,18.885,97.975,0.0,0.205,2.926
93,93,ARG,2006.0,281.352,9.924,406.505,21.082,108.169,0.0,0.198,3.34
94,94,ARG,2007.0,313.746,14.36,427.122,19.683,88.279,0.0,0.174,3.418
95,95,ARG,2008.0,317.052,17.516,431.887,19.938,87.673,0.0,0.118,3.85
96,96,ARG,2009.0,303.058,9.621,418.356,21.929,96.679,0.0,0.103,3.795
97,97,ARG,2010.0,328.158,13.472,420.874,19.203,92.593,0.0,0.07,4.604
98,98,ARG,2011.0,340.006,14.619,438.398,16.942,86.034,0.004,0.073,4.53
99,99,ARG,2012.0,361.256,13.669,456.642,16.845,79.967,0.022,1.014,4.739
100,100,ARG,2013.0,383.784,14.939,460.277,16.233,89.316,0.041,1.236,5.129
101,101,ARG,2014.0,379.916,15.892,461.55,14.334,87.82,0.043,1.678,4.734
102,102,ARG,2015.0,387.309,15.814,466.526,18.19,87.084,0.04,1.598,4.844
103,103,ARG,2016.0,375.294,12.189,482.1,21.283,79.649,0.038,1.465,3.635
104,104,ARG,2017.0,370.897,12.525,483.0,15.547,84.082,0.044,1.628,4.434
105,105,ARG,2018.0,353.211,13.709,487.021,17.447,85.401,0.286,3.738,5.075
106,106,ARG,2019.0,324.723,8.124,465.589,21.356,72.501,2.108,13.169,5.267
107,107,ARG,2020.0,297.377,10.015,439.312,26.871,62.162,3.531,24.715,7.229
108,108,ARG,2021.0,340.595,18.254,459.352,27.198,51.28,5.745,33.853,6.716
109,109,ARM,2000.0,,,,,,,,
110,110,ARM,2001.0,,,,,,,,
111,111,ARM,2002.0,,,,,,,,
112,112,ARM,2003.0,,,,,,,,
113,113,ARM,2004.0,,,,,,,,
114,114,ARM,2005.0,,,,,,,,
115,115,ARM,2006.0,,,,,,,,
116,116,ARM,2007.0,,,,,,,,
117,117,ARM,2008.0,,,,,,,,
118,118,ARM,2009.0,,,,,,,,
119,119,ARM,2010.0,,,,,,,,
120,120,ARM,2011.0,,,,,,,,
121,121,ARM,2012.0,,,,,,,,
122,122,ARM,2013.0,,,,,,,,
123,123,ARM,2014.0,,,,,,,,
124,124,ARM,2015.0,,,,,,,,
125,125,ARM,2016.0,,,,,,,,
126,126,ARM,2017.0,,,,,,,,
127,127,ARM,2018.0,,,,,,,,
128,128,ARM,2019.0,,,,,,,,
129,129,ARM,2020.0,,,,,,,,
130,130,ARM,2021.0,,,,,,,,
131,131,AUS,2000.0,455.982,591.662,205.551,0.0,48.691,0.138,0.396,2.839
132,132,AUS,2001.0,457.085,585.691,221.693,0.0,47.367,0.159,0.843,2.546
133,133,AUS,2002.0,461.975,598.872,228.148,0.0,46.979,0.17,1.557,4.044
134,134,AUS,2003.0,460.26,616.021,229.943,0.0,47.013,0.183,2.042,5.4
135,135,AUS,2004.0,471.296,641.921,234.536,0.0,45.203,0.21,2.291,8.987
136,136,AUS,2005.0,478.702,638.222,232.59,0.0,44.285,0.241,3.72,12.357
137,137,AUS,2006.0,493.642,655.499,259.431,0.0,42.525,0.277,6.152,12.553
138,138,AUS,2007.0,506.27,649.802,290.198,0.0,36.897,0.322,8.065,13.646
139,139,AUS,2008.0,512.716,677.291,285.35,0.0,33.201,0.391,9.718,11.798
140,140,AUS,2009.0,504.141,654.861,291.364,0.0,35.306,0.811,12.393,8.896
141,141,AUS,2010.0,519.307,607.394,317.064,0.0,38.153,2.714,13.836,7.794
142,142,AUS,2011.0,547.06,592.062,327.937,0.0,53.992,5.64,17.744,8.216
143,143,AUS,2012.0,561.419,554.468,329.611,0.0,46.712,6.614,21.181,9.889
144,144,AUS,2013.0,578.037,526.242,346.739,0.0,52.025,10.486,25.235,10.635
145,145,AUS,2014.0,575.428,521.888,372.209,0.0,39.239,13.415,26.487,11.32
146,146,AUS,2015.0,570.579,540.411,387.958,0.0,37.935,16.684,31.866,11.741
147,147,AUS,2016.0,571.723,540.062,378.709,0.0,47.195,19.917,34.908,11.58
148,148,AUS,2017.0,599.58,521.526,371.144,0.0,35.927,23.732,35.158,11.369
149,149,AUS,2018.0,610.111,508.882,367.681,0.0,45.801,32.629,43.025,11.454
150,150,AUS,2019.0,604.194,486.392,439.223,0.0,36.958,48.23,51.327,11.07
151,151,AUS,2020.0,522.167,468.525,430.956,0.0,37.874,62.618,59.372,10.887
152,152,AUS,2021.0,536.349,452.968,394.073,,41.857,81.624,70.116,10.675
153,153,AUT,2000.0,141.749,42.479,78.205,0.0,123.708,0.009,0.198,4.879
154,154,AUT,2001.0,153.686,43.881,82.882,0.0,118.85,0.015,0.505,5.324
155,155,AUT,2002.0,156.82,44.58,81.485,0.0,117.416,0.026,0.593,4.852
156,156,AUT,2003.0,169.936,47.548,89.63,0.0,96.328,0.044,1.061,5.464
157,157,AUT,2004.0,165.328,46.576,90.492,0.0,105.936,0.052,2.663,6.574
158,158,AUT,2005.0,164.626,46.438,95.277,0.0,106.219,0.06,3.812,7.788
159,159,AUT,2006.0,164.51,46.398,89.532,0.0,101.456,0.064,4.987,10.388
160,160,AUT,2007.0,154.658,44.86,84.709,0.0,104.776,0.069,5.76,13.02
161,161,AUT,2008.0,153.21,44.316,90.686,0.0,107.708,0.085,5.652,13.336
162,162,AUT,2009.0,145.45,33.391,88.319,0.0,114.212,0.137,5.457,13.709
163,163,AUT,2010.0,151.918,39.261,96.128,0.0,106.481,0.247,5.729,14.365
164,164,AUT,2011.0,141.775,40.32,90.418,0.0,94.449,0.48,5.341,14.595
165,165,AUT,2012.0,141.635,37.455,86.241,0.0,120.228,0.925,6.751,14.975
166,166,AUT,2013.0,146.149,38.096,82.005,0.0,114.513,1.706,8.594,15.036
167,167,AUT,2014.0,140.157,34.896,75.11,0.0,111.093,2.127,10.419,14.561
168,168,AUT,2015.0,139.683,37.714,79.681,0.0,100.062,2.524,13.035,14.884
169,169,AUT,2016.0,144.474,34.98,83.422,0.0,107.005,2.934,14.014,15.308
170,170,AUT,2017.0,146.346,36.49,90.699,0.0,101.911,3.377,17.489,15.748
171,171,AUT,2018.0,147.763,32.214,86.869,0.0,99.58,3.85,15.955,15.78
172,172,AUT,2019.0,152.831,33.889,89.004,0.0,107.616,4.487,19.638,14.902
173,173,AUT,2020.0,132.904,28.976,85.275,0.0,110.299,5.365,17.837,14.688
174,174,AUT,2021.0,136.148,31.204,90.139,,112.129,5.56,17.668,14.022
175,175,AZE,2000.0,74.266,0.0,52.829,0.0,4.536,0.0,0.0,0.0
176,176,AZE,2001.0,47.27,0.035,75.776,,3.822,0.0,0.0,0.0
177,177,AZE,2002.0,43.519,0.023,75.991,,5.896,0.0,0.0,0.0
178,178,AZE,2003.0,50.6,0.035,77.925,,7.163,0.0,0.0,0.0
179,179,AZE,2004.0,54.573,0.011,91.375,,7.939,0.0,0.0,0.0
180,180,AZE,2005.0,63.799,0.037,94.384,,8.617,0.0,0.0,0.0
181,181,AZE,2006.0,57.113,0.037,99.777,,7.165,0.0,0.0,0.0
182,182,AZE,2007.0,53.855,0.057,87.85,,6.684,0.0,0.0,0.0
183,183,AZE,2008.0,43.056,0.043,100.508,,6.272,0.0,0.0,0.0
184,184,AZE,2009.0,40.15,0.043,85.82,,6.447,0.0,0.006,0.0
185,185,AZE,2010.0,39.636,0.064,81.58,,9.565,0.0,0.001,0.0
186,186,AZE,2011.0,48.582,0.057,89.345,,7.382,0.0,0.0,0.0
187,187,AZE,2012.0,50.81,0.043,93.766,,4.993,0.0,0.0,0.0
188,188,AZE,2013.0,55.304,0.036,94.182,,4.058,0.002,0.002,0.214
189,189,AZE,2014.0,54.294,0.021,98.544,,3.521,0.008,0.006,0.278
190,190,AZE,2015.0,55.102,0.036,111.466,,4.41,0.012,0.012,0.29
191,191,AZE,2016.0,54.735,0.014,109.306,,5.245,0.094,0.061,0.279
192,192,AZE,2017.0,55.222,0.014,106.166,,4.648,0.099,0.059,0.272
193,193,AZE,2018.0,57.876,0.007,108.158,,4.678,0.104,0.219,0.259
194,194,AZE,2019.0,57.922,0.009,117.892,,4.125,0.117,0.278,0.313
195,195,AZE,2020.0,50.202,0.009,123.668,,2.809,0.123,0.252,0.32
196,196,AZE,2021.0,51.998,0.009,127.205,,3.342,0.144,0.239,0.308
197,197,BDI,2000.0,,,,,,,,
198,198,BDI,2001.0,,,,,,,,
199,199,BDI,2002.0,,,,,,,,
200,200,BDI,2003.0,,,,,,,,
201,201,BDI,2004.0,,,,,,,,
202,202,BDI,2005.0,,,,,,,,
203,203,BDI,2006.0,,,,,,,,
204,204,BDI,2007.0,,,,,,,,
205,205,BDI,2008.0,,,,,,,,
206,206,BDI,2009.0,,,,,,,,
207,207,BDI,2010.0,,,,,,,,
208,208,BDI,2011.0,,,,,,,,
209,209,BDI,2012.0,,,,,,,,
210,210,BDI,2013.0,,,,,,,,
211,211,BDI,2014.0,,,,,,,,
212,212,BDI,2015.0,,,,,,,,
213,213,BDI,2016.0,,,,,,,,
214,214,BDI,2017.0,,,,,,,,
215,215,BDI,2018.0,,,,,,,,
216,216,BDI,2019.0,,,,,,,,
217,217,BDI,2020.0,,,,,,,,
218,218,BDI,2021.0,,,,,,,,
219,219,BEL,2000.0,359.535,88.684,155.263,136.646,1.36,0.0,0.047,1.813
220,220,BEL,2001.0,365.036,84.474,153.376,130.662,1.296,0.0,0.109,1.906
221,221,BEL,2002.0,366.563,72.416,158.325,132.651,1.051,0.0,0.166,2.302
222,222,BEL,2003.0,387.416,70.049,168.666,131.853,0.716,0.0,0.255,2.736
223,223,BEL,2004.0,392.122,65.154,171.88,130.828,0.913,0.003,0.409,3.31
224,224,BEL,2005.0,389.986,59.866,168.935,130.778,0.825,0.003,0.65,5.076
225,225,BEL,2006.0,388.743,59.077,173.889,127.361,1.022,0.006,1.041,7.103
226,226,BEL,2007.0,392.629,53.987,175.19,130.858,1.1,0.017,1.388,8.3
227,227,BEL,2008.0,411.841,53.316,174.014,122.875,1.152,0.118,1.79,10.627
228,228,BEL,2009.0,370.546,34.345,175.741,126.549,0.916,0.464,2.782,12.606
229,229,BEL,2010.0,383.937,43.6,194.04,127.696,0.866,1.554,3.586,13.824
230,230,BEL,2011.0,359.416,41.049,165.24,127.685,0.541,3.225,6.378,15.003
231,231,BEL,2012.0,345.709,38.663,167.4,106.022,0.979,5.89,7.543,16.606
232,232,BEL,2013.0,355.912,40.908,165.33,111.527,1.036,7.206,9.989,16.096
233,233,BEL,2014.0,349.886,39.673,144.63,87.616,0.8,7.819,12.503,14.126
234,234,BEL,2015.0,361.531,38.742,158.499,67.454,0.857,8.231,15.011,17.594
235,235,BEL,2016.0,367.03,36.709,161.892,111.805,0.991,8.286,14.502,17.159
236,236,BEL,2017.0,373.128,35.915,164.115,107.837,0.719,8.803,17.347,18.232
237,237,BEL,2018.0,395.077,35.714,168.741,72.603,0.773,10.327,20.032,17.297
238,238,BEL,2019.0,369.916,35.812,173.835,110.092,0.796,11.207,25.701,16.515
239,239,BEL,2020.0,320.132,27.785,169.982,86.782,0.701,13.408,33.521,16.839
240,240,BEL,2021.0,361.215,28.736,169.606,126.999,0.98,14.675,31.083,15.694
241,241,BEN,2000.0,,,,,,,,
242,242,BEN,2001.0,,,,,,,,
243,243,BEN,2002.0,,,,,,,,
244,244,BEN,2003.0,,,,,,,,
245,245,BEN,2004.0,,,,,,,,
246,246,BEN,2005.0,,,,,,,,
247,247,BEN,2006.0,,,,,,,,
248,248,BEN,2007.0,,,,,,,,
249,249,BEN,2008.0,,,,,,,,
250,250,BEN,2009.0,,,,,,,,
251,251,BEN,2010.0,,,,,,,,
252,252,BEN,2011.0,,,,,,,,
253,253,BEN,2012.0,,,,,,,,
254,254,BEN,2013.0,,,,,,,,
255,255,BEN,2014.0,,,,,,,,
256,256,BEN,2015.0,,,,,,,,
257,257,BEN,2016.0,,,,,,,,
258,258,BEN,2017.0,,,,,,,,
259,259,BEN,2018.0,,,,,,,,
260,260,BEN,2019.0,,,,,,,,
261,261,BEN,2020.0,,,,,,,,
262,262,BFA,2000.0,,,,,,,,
263,263,BFA,2001.0,,,,,,,,
264,264,BFA,2002.0,,,,,,,,
265,265,BFA,2003.0,,,,,,,,
266,266,BFA,2004.0,,,,,,,,
267,267,BFA,2005.0,,,,,,,,
268,268,BFA,2006.0,,,,,,,,
269,269,BFA,2007.0,,,,,,,,
270,270,BFA,2008.0,,,,,,,,
271,271,BFA,2009.0,,,,,,,,
272,272,BFA,2010.0,,,,,,,,
273,273,BFA,2011.0,,,,,,,,
274,274,BFA,2012.0,,,,,,,,
275,275,BFA,2013.0,,,,,,,,
276,276,BFA,2014.0,,,,,,,,
277,277,BFA,2015.0,,,,,,,,
278,278,BFA,2016.0,,,,,,,,
279,279,BFA,2017.0,,,,,,,,
280,280,BFA,2018.0,,,,,,,,
281,281,BFA,2019.0,,,,,,,,
282,282,BFA,2020.0,,,,,,,,
283,283,BGD,2000.0,39.488,3.836,90.582,0.0,2.215,0.0,0.0,0.0
284,284,BGD,2001.0,47.167,4.069,101.432,0.0,2.917,0.0,0.0,0.0
285,285,BGD,2002.0,47.364,4.249,106.711,0.0,2.186,0.0,0.0,0.0
286,286,BGD,2003.0,49.096,4.063,114.784,0.0,2.172,0.003,0.0,0.0
287,287,BGD,2004.0,46.329,4.069,123.402,0.0,2.158,0.005,0.0,0.0
288,288,BGD,2005.0,46.623,8.348,132.634,0.0,2.145,0.01,0.0,0.0
289,289,BGD,2006.0,47.123,12.684,143.634,0.0,2.131,0.015,0.005,0.0
290,290,BGD,2007.0,44.559,10.351,153.364,0.0,2.118,0.025,0.005,0.0
291,291,BGD,2008.0,45.273,10.896,163.764,0.0,2.67,0.043,0.008,0.0
292,292,BGD,2009.0,42.332,13.615,187.467,0.0,1.165,0.07,0.014,0.003
293,293,BGD,2010.0,47.161,8.676,192.537,0.0,2.023,0.123,0.014,0.006
294,294,BGD,2011.0,60.942,12.916,195.821,0.0,2.406,0.161,0.014,0.01
295,295,BGD,2012.0,65.038,10.657,213.363,0.0,2.13,0.249,0.014,0.013
296,296,BGD,2013.0,63.673,14.754,219.528,0.0,1.985,0.353,0.014,0.016
297,297,BGD,2014.0,71.492,8.853,230.223,0.0,1.535,0.452,0.014,0.019
298,298,BGD,2015.0,75.666,26.352,258.541,0.0,2.419,0.534,0.014,0.009
299,299,BGD,2016.0,82.81,19.365,264.509,0.0,2.368,0.589,0.014,0.009
300,300,BGD,2017.0,93.059,21.727,265.927,0.0,2.74,0.674,0.014,0.009
301,301,BGD,2018.0,105.754,23.806,274.29,0.0,2.29,0.728,0.013,0.009
302,302,BGD,2019.0,101.641,38.545,309.344,0.0,2.17,0.863,0.013,0.009
303,303,BGD,2020.0,93.226,43.539,299.153,0.0,1.84,1.024,0.013,0.01
304,304,BGD,2021.0,106.915,38.156,311.296,,1.784,1.179,0.013,0.01
305,305,BGR,2000.0,50.71,73.194,34.068,51.58,7.904,0.0,0.0,0.0
306,306,BGR,2001.0,52.426,83.428,28.639,55.122,5.103,0.0,0.0,0.0
307,307,BGR,2002.0,54.158,76.83,25.393,56.64,6.404,0.0,0.0,0.0
308,308,BGR,2003.0,57.868,86.018,26.833,48.089,8.784,0.0,0.0,0.0
309,309,BGR,2004.0,56.34,82.196,26.199,46.497,9.129,0.0,0.003,0.0
310,310,BGR,2005.0,61.639,80.51,32.664,51.253,12.419,0.0,0.014,0.0
311,311,BGR,2006.0,62.325,81.75,33.657,53.224,12.059,0.0,0.057,0.0
312,312,BGR,2007.0,61.398,91.97,33.919,39.732,8.127,0.0,0.133,0.0
313,313,BGR,2008.0,59.033,87.665,33.921,42.511,7.936,0.0,0.343,0.051
314,314,BGR,2009.0,53.186,73.793,24.264,40.884,9.691,0.008,0.662,0.026
315,315,BGR,2010.0,47.478,80.047,26.723,40.615,14.036,0.042,1.89,0.112
316,316,BGR,2011.0,45.323,94.144,30.594,43.186,8.047,0.279,2.375,0.179
317,317,BGR,2012.0,46.958,80.428,28.512,41.533,8.845,2.232,3.348,0.211
318,318,BGR,2013.0,43.406,69.126,27.544,37.062,11.12,3.709,3.745,0.357
319,319,BGR,2014.0,46.919,73.852,27.361,41.248,12.475,3.392,3.606,0.641
320,320,BGR,2015.0,52.695,76.237,30.003,39.742,15.245,3.724,3.91,0.862
321,321,BGR,2016.0,53.165,66.225,31.25,40.526,10.553,3.71,3.815,1.129
322,322,BGR,2017.0,55.642,71.0,32.137,39.7,7.526,3.734,4.003,1.264
323,323,BGR,2018.0,55.462,63.447,30.229,40.939,13.616,3.553,3.487,5.021
324,324,BGR,2019.0,57.913,59.074,28.309,41.876,7.818,3.802,3.472,5.812
325,325,BGR,2020.0,51.762,48.281,29.206,41.9,7.535,3.889,3.879,5.425
326,326,BGR,2021.0,54.478,60.662,33.02,41.386,11.939,3.898,3.75,5.41
327,327,BHR,2000.0,,,,,,,,
328,328,BHR,2001.0,,,,,,,,
329,329,BHR,2002.0,,,,,,,,
330,330,BHR,2003.0,,,,,,,,
331,331,BHR,2004.0,,,,,,,,
332,332,BHR,2005.0,,,,,,,,
333,333,BHR,2006.0,,,,,,,,
334,334,BHR,2007.0,,,,,,,,
335,335,BHR,2008.0,,,,,,,,
336,336,BHR,2009.0,,,,,,,,
337,337,BHR,2010.0,,,,,,,,
338,338,BHR,2011.0,,,,,,,,
339,339,BHR,2012.0,,,,,,,,
340,340,BHR,2013.0,,,,,,,,
341,341,BHR,2014.0,,,,,,,,
