id,pais,continente,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
CHN,China,Asia,12055.41,11821.66,11385.48,11151.31,11108.86,11228.48,11168.26,10675.66,10388.48,9887.06,9055.11,8480.5,8224.19,7614.35,6934.85,6172.83,5387.28,4736.95,4430.04,4221.08
USA,United States,North America,5771.0,5892.37,5689.61,5743.85,5665.21,5779.54,5734.28,5593.25,5811.96,6026.14,5757.6,6184.08,6367.28,6260.2,6352.14,6331.91,6245.34,6182.64,6335.1,6372.54
IND,India,Asia,3363.6,3360.56,3215.07,3076.48,3003.07,2984.52,2804.34,2740.4,2584.75,2546.79,2438.92,2289.14,2191.17,2045.4,1948.11,1876.85,1787.88,1744.38,1725.86,1477.87
IDN,Indonesia,Asia,1959.71,1692.36,1447.22,1434.46,2067.75,2015.5,1638.39,1702.3,1683.13,1131.73,1487.25,1093.88,1107.1,1664.11,1245.04,1517.63,1168.0,1500.73,1018.47,1190.41
RUS,Russia,Europe,1924.82,1868.15,1769.69,1733.91,1602.81,1621.85,1633.1,1674.58,1693.96,1521.96,1427.44,1570.09,1559.85,1553.64,1513.85,1491.42,1498.74,1422.39,1423.46,1812.87
BRA,Brazil,South America,1451.63,1434.51,1475.82,1455.86,1366.89,1384.99,1344.89,1319.48,1276.46,2109.66,2009.23,2036.17,2032.89,1998.22,2006.42,1993.39,1946.72,1932.79,1897.8,1809.18
JPN,Japan,Asia,1134.45,1172.32,1214.59,1229.82,1220.73,1256.16,1298.56,1286.53,1243.96,1136.62,1078.7,1137.35,1204.37,1168.68,1190.09,1188.83,1197.12,1189.23,1156.68,1200.81
IRN,Iran,Asia,893.78,925.58,912.77,881.05,844.14,844.13,815.31,793.95,793.62,737.61,734.4,711.29,703.12,667.21,624.34,585.5,548.91,512.73,497.59,507.02
CAN,Canada,North America,774.29,776.5,757.38,740.67,841.22,842.14,834.47,822.51,821.99,971.61,954.58,989.56,1014.19,980.87,992.1,977.9,981.22,959.31,938.32,712.83
SAU,Saudi Arabia,Asia,723.15,715.23,729.31,739.82,731.89,698.29,654.85,638.88,601.75,569.68,524.11,511.98,471.68,451.62,428.81,408.2,391.35,369.76,351.28,347.62
DEU,Germany,Europe,720.23,771.48,800.21,817.47,814.64,809.96,850.84,834.47,821.26,861.83,831.35,887.83,884.97,913.4,904.6,926.57,943.14,941.97,958.16,906.43
COD,Democratic Republic of the Congo,Africa,679.57,676.86,682.01,680.03,679.91,677.77,677.01,673.04,676.09,442.37,439.95,440.32,436.22,442.84,440.48,440.11,437.1,429.83,417.58,425.81
MEX,Mexico,North America,670.84,669.63,688.06,689.71,681.94,663.46,674.64,687.03,679.06,576.98,559.85,569.44,564.88,552.9,532.56,508.41,499.56,473.91,464.85,558.02
KOR,South Korea,Asia,652.66,669.7,662.63,648.88,633.4,612.48,622.99,622.55,619.12,585.4,533.37,519.43,506.54,496.62,488.31,492.96,469.04,461.26,468.7,469.57
AUS,Australia,Oceania,608.49,621.28,626.56,578.39,568.87,569.98,554.25,639.63,639.95,596.36,626.33,608.78,637.94,638.32,590.44,627.56,576.25,652.95,656.39,650.73
ZAF,South Africa,Africa,562.19,556.72,557.46,542.89,542.51,567.33,554.77,544.98,524.74,540.67,517.89,539.07,506.16,484.91,482.27,482.0,453.49,429.46,414.37,380.86
TUR,Turkey,Asia,459.86,470.65,472.27,430.35,372.37,365.03,339.78,348.92,333.37,327.48,317.49,314.43,317.29,287.68,258.46,246.0,239.99,228.49,218.22,266.14
PAK,Pakistan,Asia,439.49,428.62,432.92,406.11,379.96,365.57,352.33,340.73,336.67,329.41,335.35,324.73,322.3,304.82,285.37,276.72,258.99,249.66,243.29,240.86
VNM,Vietnam,Asia,438.11,386.8,330.0,323.08,311.63,270.66,256.19,241.58,240.18,276.95,258.24,235.76,226.29,212.04,208.13,198.75,178.87,173.7,157.69,63.44
THA,Thailand,Asia,437.18,421.41,417.99,411.08,387.86,383.84,387.42,376.44,353.49,319.84,299.82,301.42,299.11,285.23,282.26,276.36,253.55,240.89,228.77,264.0
GBR,United Kingdom,Europe,429.13,442.48,450.65,465.58,487.0,502.35,541.85,559.23,539.08,580.39,567.88,623.87,644.25,659.56,663.04,668.94,674.12,665.2,683.35,673.09
ARG,Argentina,South America,398.91,404.95,407.58,403.23,435.81,428.81,431.0,421.2,416.09,434.83,429.32,449.64,445.1,432.56,418.09,414.15,397.87,375.63,379.26,337.38
MYS,Malaysia,Asia,396.11,384.04,360.65,377.38,187.53,202.09,169.28,148.39,146.34,370.38,357.81,361.34,349.26,324.08,328.0,314.12,288.92,278.81,262.89,271.82
ITA,Italy,Europe,376.19,385.22,391.74,396.95,379.58,367.92,387.64,419.63,437.82,448.37,439.76,488.78,503.81,510.6,522.52,521.14,509.42,490.55,481.26,482.85
NGA,Nigeria,Africa,354.33,345.7,340.02,335.84,325.43,331.28,321.55,307.78,304.25,293.77,268.87,282.6,276.61,285.92,298.02,293.44,293.2,273.79,289.5,293.25
FRA,France,Europe,352.1,360.76,374.26,371.62,372.12,366.68,400.17,399.26,395.62,406.15,402.2,419.99,426.0,432.73,442.6,441.29,443.12,437.95,444.92,481.14
EGY,Egypt,Africa,351.96,345.01,338.61,325.66,318.29,312.08,306.32,309.38,298.66,289.78,287.39,280.06,270.59,255.23,244.26,223.0,209.76,204.6,199.17,185.36
IRQ,Iraq,Asia,321.31,304.03,293.1,277.35,254.02,242.06,241.89,228.27,202.12,188.62,172.64,161.56,142.94,146.39,145.73,150.56,129.35,155.36,169.02,160.7
POL,Poland,Europe,320.23,337.7,339.46,326.54,321.5,318.34,331.54,337.34,344.31,303.69,285.25,300.04,306.25,305.72,291.35,289.93,285.78,274.29,280.73,341.25
VEN,Venezuela,South America,299.6,337.05,363.75,393.2,479.92,502.49,505.11,502.83,466.48,448.86,440.83,449.49,437.43,442.27,442.96,429.08,413.7,425.02,429.42,483.44
ESP,Spain,Europe,293.08,311.0,318.4,301.85,317.43,306.84,308.14,334.52,340.89,330.13,345.31,382.06,415.37,399.09,405.09,390.45,374.33,365.33,348.63,326.92
DZA,Algeria,Africa,282.23,278.23,269.38,265.6,262.52,252.91,239.46,234.99,215.21,207.48,204.28,202.05,196.61,193.51,185.65,178.19,175.3,162.66,156.9,163.6
KAZ,Kazakhstan,Asia,271.68,275.56,276.98,256.53,240.36,258.97,307.67,293.4,295.59,289.06,269.68,298.68,252.1,240.32,221.29,207.53,191.19,180.86,154.41,156.18
COL,Colombia,South America,270.53,265.37,256.46,261.48,232.02,231.15,227.54,220.55,221.67,241.74,236.79,233.16,232.47,227.02,225.83,224.14,222.3,220.54,222.44,232.98
ARE,United Arab Emirates,Asia,243.55,229.38,248.69,252.92,245.22,231.8,230.89,219.59,207.49,201.89,194.38,194.02,168.25,157.12,150.1,141.21,133.42,125.4,123.08,109.02
MMR,Myanmar,Asia,242.95,240.11,234.67,221.94,228.5,222.16,214.56,212.03,203.37,232.86,227.87,217.73,230.63,221.37,216.65,225.23,212.15,200.54,201.76,222.35
BGD,Bangladesh,Asia,237.7,229.78,224.83,215.72,214.1,203.97,199.0,194.92,191.01,185.71,177.67,173.48,164.71,161.72,155.64,150.67,148.74,146.8,143.29,137.75
PHL,Philippines,Asia,236.79,229.42,223.54,207.41,194.8,185.86,178.26,167.31,162.25,160.48,154.88,152.18,148.95,143.02,149.78,148.7,145.27,142.02,140.35,141.19
UKR,Ukraine,Europe,221.29,232.76,221.2,247.28,233.56,282.98,317.11,321.75,329.07,303.06,283.1,338.19,349.31,340.19,333.05,346.11,372.22,347.4,342.82,317.3
PER,Peru,South America,190.66,187.8,187.47,189.98,186.12,184.4,180.65,178.76,178.45,150.21,145.51,141.38,136.45,132.47,133.05,131.45,127.39,127.46,125.53,122.42
UZB,Uzbekistan,Asia,185.39,180.45,172.94,167.53,157.91,162.99,170.72,171.9,187.16,175.52,163.64,176.45,167.15,171.71,160.98,166.14,162.44,170.57,164.22,172.29
ETH,Ethiopia,Africa,183.37,180.95,179.26,175.56,169.34,166.06,159.85,155.63,150.03,149.91,144.76,140.64,136.8,126.79,121.97,118.47,116.34,117.9,108.39,102.14
NLD,Netherlands,Europe,173.59,178.62,184.71,188.71,187.82,179.56,186.76,187.09,188.71,201.63,190.97,196.04,198.71,199.22,203.87,209.65,207.92,207.98,208.19,207.4
TKM,Turkmenistan,Asia,157.33,154.97,152.51,152.94,155.08,151.33,151.15,144.42,136.68,116.62,104.87,131.74,126.4,117.37,115.59,112.66,105.86,93.87,89.5,88.76
TZA,Tanzania,Africa,154.89,151.98,152.72,153.6,142.55,136.29,135.57,133.67,129.05,127.25,124.18,122.02,119.4,117.28,122.53,116.56,117.4,109.07,103.58,98.85
BOL,Bolivia,South America,138.72,129.59,129.2,130.37,119.65,116.72,115.92,115.3,114.44,125.46,103.65,105.2,109.88,104.81,102.69,106.63,93.95,96.39,90.52,111.04
KWT,Kuwait,Asia,136.69,133.83,131.1,131.71,125.97,121.1,121.86,117.62,113.05,107.34,103.17,102.91,95.99,97.97,94.33,85.07,79.91,74.77,72.9,69.81
AGO,Angola,Africa,128.29,120.1,131.15,133.52,135.83,129.91,128.1,125.68,126.65,126.96,122.45,119.98,117.2,112.77,114.87,114.61,111.59,105.16,101.52,81.34
