id,anio,biocapacidad,huella_ecologica,tierra
1,1961,3.15,2.28,0.72
2,1962,3.11,2.3,0.74
3,1963,3.05,2.35,0.77
4,1964,3.0,2.4,0.8
5,1965,2.95,2.43,0.82
6,1966,2.92,2.49,0.85
7,1967,2.87,2.5,0.87
8,1968,2.82,2.55,0.9
9,1969,2.77,2.6,0.94
10,1970,2.72,2.7,0.99
11,1971,2.69,2.73,1.01
12,1972,2.62,2.75,1.05
13,1973,2.6,2.84,1.09
14,1974,2.54,2.76,1.09
15,1975,2.5,2.7,1.08
16,1976,2.46,2.77,1.13
17,1977,2.42,2.78,1.15
18,1978,2.41,2.8,1.16
19,1979,2.36,2.82,1.19
20,1980,2.32,2.72,1.17
21,1981,2.3,2.64,1.15
22,1982,2.28,2.58,1.13
23,1983,2.23,2.53,1.13
24,1984,2.23,2.59,1.16
25,1985,2.2,2.58,1.17
26,1986,2.17,2.58,1.19
27,1987,2.14,2.6,1.21
28,1988,2.08,2.61,1.25
29,1989,2.07,2.63,1.27
30,1990,2.06,2.63,1.28
31,1991,2.01,2.57,1.28
32,1992,2.01,2.55,1.27
33,1993,1.97,2.51,1.27
34,1994,1.96,2.51,1.28
35,1995,1.92,2.52,1.31
36,1996,1.92,2.54,1.32
37,1997,1.9,2.54,1.34
38,1998,1.89,2.51,1.33
39,1999,1.87,2.49,1.33
40,2000,1.84,2.51,1.36
41,2001,1.83,2.51,1.37
42,2002,1.81,2.51,1.39
43,2003,1.79,2.57,1.44
44,2004,1.78,2.66,1.49
45,2005,1.76,2.7,1.53
46,2006,1.74,2.74,1.57
47,2007,1.73,2.78,1.61
48,2008,1.73,2.77,1.6
49,2009,1.7,2.69,1.58
50,2010,1.69,2.81,1.66
51,2011,1.68,2.84,1.69
52,2012,1.64,2.78,1.7
53,2013,1.65,2.81,1.7
54,2014,1.64,2.77,1.69
55,2015,1.62,2.73,1.69
56,2016,1.61,2.69,1.67
57,2017,1.61,2.76,1.71
58,2018,1.58,2.77,1.75
59,2019,1.56,2.73,1.75
60,2020,1.61,2.48,1.54
61,2021,1.51,2.7,1.79
62,2022,1.52,2.73,1.8
