id,pais,continente,IDS,ELE,IDH,PIB_PerCap,poblacion,huella carbono,huella ecologica,biocapacidad,tierra
AFG,Afghanistan,Asia,53.9,64.0,0.51,565, 37.2 ,0.2,1.2,0.3,0.4
ALB,Albania,Europe,71.0,78.0,0.79,5.046, 2.9 ,1.5,3.3,1.0,1.2
DZA,Algeria,Africa,70.9,77.0,0.75,4.760, 42.2 ,2.5,4.0,0.6,1.5
AGO,Angola,Africa,50.3,61.0,0.58,3.234, 30.8 ,0.4,1.5,1.8,0.5
ATG,Antigua and Barbuda,North America,,77.0,0.77,15.135, 0.1 ,0.0,6.6,0.9,2.9
ARG,Argentina,South America,72.8,77.0,0.84,10.076, 44.4 ,2.6,8.4,6.2,2.1
ARM,Armenia,Asia,71.8,75.0,0.77,4.407, 3.0 ,1.6,3.2,0.6,1.2
AUS,Australia,Oceania,75.6,83.0,0.94,57.032, 24.9 ,10.1,17.9,11.5,4.5
AUT,Austria,Europe,82.1,82.0,0.92,49.711, 8.9 ,6.4,10.7,2.7,3.8
AZE,Azerbaijan,Asia,72.4,73.0,0.75,5.795, 9.9 ,2.2,3.9,0.8,1.3
BHS,Bahamas,North America,,74.0,0.81,28.846, 0.4 ,4.8,6.2,9.2,2.7
BHR,Bahrain,Asia,66.1,77.0,0.85,21.478, 1.6 ,14.1,15.5,0.5,5.2
BGD,Bangladesh,Asia,63.5,72.0,0.63,1.202, 161.4 ,0.5,1.5,0.4,0.6
BRB,Barbados,North America,68.4,79.0,0.81,16.137, 0.3 ,4.3,5.9,0.2,2.5
BLR,Belarus,Europe,78.8,74.0,0.82,6.608, 9.5 ,4.4,9.5,2.9,2.8
BEL,Belgium,Europe,82.2,82.0,0.93,46.768, 11.5 ,7.5,10.5,0.8,4.3
BLZ,Belize,North America,64.4,74.0,0.71,4.217, 0.4 ,2.0,14.4,3.5,5.0
BEN,Benin,Africa,49.9,61.0,0.54,1.211, 11.5 ,0.6,2.8,0.9,1.0
BTN,Bhutan,Asia,70.0,71.0,0.65,3.129, 0.8 ,2.0,9.4,5.0,3.3
BOL,Bolivia,South America,67.6,71.0,0.71,2.560, 11.4 ,1.4,6.3,14.2,2.0
BIH,Bosnia and Herzegovina,Europe,73.7,77.0,0.78,6.097, 3.3 ,4.4,7.8,2.0,2.5
BWA,Botswana,Africa,61.9,69.0,0.73,8.033, 2.3 ,2.8,4.3,3.3,1.5
BRA,Brazil,South America,71.3,76.0,0.76,11.076, 209.5 ,1.4,6.2,8.6,1.6
BRN,Brunei Darussalam,Asia,68.3,76.0,0.84,31.437, 0.4 ,9.7,11.6,2.7,3.4
BGR,Bulgaria,Europe,73.8,75.0,0.81,8.642, 7.1 ,4.2,8.2,3.3,2.3
BFA,Burkina Faso,Africa,53.5,61.0,0.44,800, 19.8 ,0.3,2.4,1.0,0.8
BDI,Burundi,Africa,51.8,61.0,0.43,211, 11.2 ,0.1,1.6,0.5,0.5
CPV,Cabo Verde,Africa,68.1,73.0,0.66,3.740, 0.5 ,0.0,3.4,0.5,1.2
KHM,Cambodia,Asia,64.5,70.0,0.59,1.203, 16.2 ,0.0,2.8,1.2,0.9
CMR,Cameroon,Africa,55.3,59.0,0.56,1.502, 25.2 ,0.3,2.3,1.6,0.8
CAN,Canada,North America,79.2,82.0,0.93,51.518, 37.1 ,10.7,19.8,14.7,5.1
CAF,Central African Republic,Africa,38.3,53.0,0.4,379, 4.7 ,0.1,2.4,7.5,0.8
TCD,Chad,Africa,40.9,54.0,0.4,812, 15.5 ,0.1,3.3,1.7,1.0
CHL,Chile,South America,77.1,80.0,0.85,15.110, 18.7 ,3.6,9.0,3.3,2.7
CHN,China,Asia,72.1,77.0,0.76,7.469, 1.459.4 ,5.3,7.2,0.9,2.4
COL,Colombia,South America,70.6,77.0,0.76,7.692, 49.7 ,1.2,3.4,3.4,1.2
COM,Comoros,Africa,,64.0,0.55,1.403, 0.8 ,0.0,2.1,0.4,0.8
COG,Congo,Africa,52.9,64.0,0.57,2.304, 5.2 ,0.4,2.0,8.8,0.6
CRI,Costa Rica,North America,73.6,80.0,0.81,9.937, 5.0 ,1.6,4.2,1.5,1.5
CIV,Côte d'Ivoire,Africa,57.6,57.0,0.53,1.668, 25.1 ,0.4,3.0,1.8,0.9
HRV,Croatia,Europe,80.4,78.0,0.85,15.708, 4.2 ,3.7,7.0,2.8,2.5
CUB,Cuba,North America,73.7,79.0,0.78,6.817, 11.3 ,1.8,3.0,0.8,1.1
CYP,Cyprus,Asia,74.9,81.0,0.89,23.395, 1.2 ,0.0,5.9,0.2,2.4
