id,pais_id,anio,poblacion,pbi,gen_elect,dem_elect
1,AFG,2000.0,20779958.0,11283792896.0,0.47,0.57
2,AFG,2001.0,21606992.0,11021273088.0,0.59,0.69
3,AFG,2002.0,22600774.0,18804871168.0,0.69,0.79
4,AFG,2003.0,23680872.0,21074343936.0,0.94,1.04
5,AFG,2004.0,24726690.0,22332571648.0,0.89,0.99
6,AFG,2005.0,25654274.0,25397688320.0,0.93,1.03
7,AFG,2006.0,26433058.0,28704401408.0,0.84,1.27
8,AFG,2007.0,27100542.0,34507530240.0,0.95,1.56
9,AFG,2008.0,27722282.0,36561043456.0,0.73,1.48
10,AFG,2009.0,28394806.0,44358721536.0,0.94,2.09
11,AFG,2010.0,29185512.0,47399424000.0,0.94,2.51
12,AFG,2011.0,30117410.0,53326336000.0,0.78,3.03
13,AFG,2012.0,31161378.0,59166900224.0,0.88,3.95
14,AFG,2013.0,32269592.0,62993698816.0,1.11,4.73
15,AFG,2014.0,33370804.0,64346107904.0,1.16,4.87
16,AFG,2015.0,34413600.0,62783393792.0,1.18,4.96
17,AFG,2016.0,35383028.0,64297426944.0,1.21,5.54
18,AFG,2017.0,36296108.0,68752801792.0,1.27,5.88
19,AFG,2018.0,37171920.0,67594969088.0,1.17,6.16
20,AFG,2019.0,38041756.0,,1.06,5.97
21,AFG,2020.0,38928340.0,,0.78,5.69
22,AGO,2000.0,16395477.0,23512020992.0,1.4,1.4
23,AGO,2001.0,16945754.0,26014777344.0,1.59,1.59
24,AGO,2002.0,17519418.0,31389599744.0,1.71,1.71
25,AGO,2003.0,18121476.0,35081187328.0,1.94,1.94
26,AGO,2004.0,18758138.0,41307009024.0,2.18,2.18
27,AGO,2005.0,19433604.0,51967275008.0,2.73,2.73
28,AGO,2006.0,20149904.0,66748907520.0,3.24,3.24
29,AGO,2007.0,20905360.0,87085293568.0,3.15,3.15
30,AGO,2008.0,21695636.0,105591652352.0,4.06,4.06
31,AGO,2009.0,22514276.0,115245899776.0,4.6,4.6
32,AGO,2010.0,23356246.0,126981791744.0,5.32,5.32
33,AGO,2011.0,24220660.0,140474318848.0,5.53,5.53
34,AGO,2012.0,25107926.0,149070692352.0,6.03,6.03
35,AGO,2013.0,26015786.0,160861175808.0,7.97,7.97
36,AGO,2014.0,26941774.0,170193272832.0,9.22,9.22
37,AGO,2015.0,27884380.0,176848732160.0,9.31,9.31
38,AGO,2016.0,28842482.0,178333876224.0,10.21,10.21
39,AGO,2017.0,29816770.0,178066374656.0,10.67,10.67
40,AGO,2018.0,30809788.0,175929573376.0,11.7,11.7
41,AGO,2019.0,31825298.0,,13.56,13.56
42,AGO,2020.0,32866270.0,,14.39,14.39
43,AGO,2021.0,33933608.0,,,
44,ALB,2000.0,3129246.0,15214264320.0,4.77,5.77
45,ALB,2001.0,3129701.0,16563844096.0,3.73,5.48
