anio,poblacion
1961,3091840000
1962,3150419968
1963,3211000064
1964,3273979904
1965,3339579904
1966,3407920128
1967,3478769920
1968,3551600128
1969,3625679872
1970,3700440064
1971,3775759872
1972,3851650048
1973,3927780096
1974,4003790080
1975,4079480064
1976,4154670080
1977,4229509888
1978,4304529920
1979,4380510208
1980,4457999872
1981,4536999936
1982,4617390080
1983,4699570176
1984,4784010240
1985,4870920192
1986,4960569856
1987,5052519936
1988,5145430016
1989,5237440000
1990,5327229952
1991,5414289920
1992,5498919936
1993,5581599744
1994,5663150080
1995,5744209920
1996,5824889856
1997,5905050112
1998,5984790016
1999,6064240128
2000,6143490048
2001,6222629888
2002,6301770240
2003,6381179904
2004,6461159936
2005,6541910016
2006,6623519744
2007,6705950208
2008,6789089792
2009,6872770048
2010,6956819968
2011,7041189888
2012,7125830144
2013,7210579968
2014,7295289856
2015,7379800064
2016,7464019968
2017,7547859968
2018,7631090176
2019,7674314922
2020,7756041003
2021,7851163856
2022,7948118521
