anio,emision_co2,produccion_energia,var_emision_co2,var_produccion_energia
1980,4946.6271,296.3372,0.0035,0.0127
1981,18701.9744,291.2878,0.0133,0.0125
1982,18327.414,290.1206,0.0131,0.0125
1983,18284.0023,293.0466,0.013,0.0126
1984,18478.5122,308.921,0.0132,0.0133
1985,19602.5474,316.4643,0.014,0.0136
1986,20027.3128,326.7531,0.0143,0.014
1987,20511.3714,334.3845,0.0146,0.0144
1988,21163.8406,347.4129,0.0151,0.0149
1989,21842.5421,354.0081,0.0156,0.0152
1990,22158.6302,357.8395,0.0158,0.0154
1991,22144.8029,355.1308,0.0158,0.0153
1992,21974.8677,353.9361,0.0157,0.0152
1993,21766.1421,354.5943,0.0155,0.0152
1994,21891.9211,360.6731,0.0156,0.0155
1995,22064.8843,368.5758,0.0157,0.0158
1996,22552.7015,377.7532,0.0161,0.0162
1997,23042.1618,382.3033,0.0164,0.0164
1998,23112.8506,386.7931,0.0165,0.0166
1999,23152.1643,386.6384,0.0165,0.0166
2000,23494.9163,399.8552,0.0167,0.0172
2001,24258.0809,405.5473,0.0173,0.0174
2002,24463.109,407.3584,0.0174,0.0175
2003,25016.0475,423.1305,0.0178,0.0182
2004,26169.8058,445.4459,0.0186,0.0191
2005,27602.3195,461.3211,0.0197,0.0198
2006,28689.6767,473.6971,0.0204,0.0204
2007,29632.5401,482.3614,0.0211,0.0207
2008,30083.7819,495.321,0.0214,0.0213
2009,30795.4509,493.0427,0.0219,0.0212
2010,30621.8272,518.7317,0.0218,0.0223
2011,32519.3054,534.1879,0.0232,0.023
2012,33633.3245,546.3336,0.024,0.0235
2013,34423.4147,554.1776,0.0245,0.0238
2014,34839.9042,563.3312,0.0248,0.0242
2015,34894.2601,568.5583,0.0249,0.0244
2016,34751.6056,564.5803,0.0248,0.0243
2017,34572.3807,578.2453,0.0246,0.0248
2018,35002.9008,600.7287,0.0249,0.0258
2019,35584.9335,611.509,0.0254,0.0263
2020,36294.7431,593.3499,0.0259,0.0255
2021,36825.2223,601.5981,0.0262,0.0258
2022,37355.7014,609.8464,0.0266,0.0262
2023,37886.1805,618.0946,0.027,0.0266
2024,38416.6596,626.3429,0.0274,0.0269
2025,38947.1387,634.5911,0.0277,0.0273
2026,39477.6178,642.8393,0.0281,0.0276
2027,40008.0969,651.0876,0.0285,0.028
2028,40538.576,659.3358,0.0289,0.0283
2029,41069.0551,667.5841,0.0293,0.0287
