id,informacion_id,anio,codigo,petroleo,carbon,gas,nuclear,hidraulica,solar,eolica,otras_renovables
1,1,2000.0,AFG,0.16,0.0,0.0,0.0,0.31,0.0,0.0,0.0
2,2,2001.0,AFG,0.09,0.0,0.0,0.0,0.5,0.0,0.0,0.0
3,3,2002.0,AFG,0.13,0.0,0.0,0.0,0.56,0.0,0.0,0.0
4,4,2003.0,AFG,0.31,0.0,0.0,0.0,0.63,0.0,0.0,0.0
5,5,2004.0,AFG,0.33,0.0,0.0,0.0,0.56,0.0,0.0,0.0
6,6,2005.0,AFG,0.34,0.0,0.0,0.0,0.59,0.0,0.0,0.0
7,7,2006.0,AFG,0.2,0.0,0.0,0.0,0.64,0.0,0.0,0.0
8,8,2007.0,AFG,0.2,0.0,0.0,0.0,0.75,0.0,0.0,0.0
9,9,2008.0,AFG,0.19,0.0,0.0,0.0,0.54,0.0,0.0,0.0
10,10,2009.0,AFG,0.16,0.0,0.0,0.0,0.78,0.0,0.0,0.0
11,11,2010.0,AFG,0.19,0.0,0.0,0.0,0.75,0.0,0.0,0.0
12,12,2011.0,AFG,0.18,0.0,0.0,0.0,0.6,0.0,0.0,0.0
13,13,2012.0,AFG,0.14,0.0,0.0,0.0,0.71,0.03,0.0,0.0
14,14,2013.0,AFG,0.22,0.0,0.0,0.0,0.86,0.03,0.0,0.0
15,15,2014.0,AFG,0.16,0.0,0.0,0.0,0.97,0.03,0.0,0.0
16,16,2015.0,AFG,0.15,0.0,0.0,0.0,1.0,0.03,0.0,0.0
17,17,2016.0,AFG,0.15,0.0,0.0,0.0,1.02,0.04,0.0,0.0
18,18,2017.0,AFG,0.18,0.0,0.0,0.0,1.05,0.04,0.0,0.0
19,19,2018.0,AFG,0.2,0.0,0.0,0.0,0.93,0.04,0.0,0.0
20,20,2019.0,AFG,0.18,0.0,0.0,0.0,0.84,0.04,0.0,0.0
21,21,2020.0,AFG,0.12,0.0,0.0,0.0,0.62,0.04,0.0,0.0
22,22,2000.0,AGO,0.5,0.0,0.0,0.0,0.9,0.0,0.0,0.0
23,23,2001.0,AGO,0.58,0.0,0.0,0.0,1.01,0.0,0.0,0.0
24,24,2002.0,AGO,0.58,0.0,0.0,0.0,1.13,0.0,0.0,0.0
25,25,2003.0,AGO,0.71,0.0,0.0,0.0,1.23,0.0,0.0,0.0
26,26,2004.0,AGO,0.45,0.0,0.0,0.0,1.73,0.0,0.0,0.0
27,27,2005.0,AGO,0.53,0.0,0.0,0.0,2.2,0.0,0.0,0.0
28,28,2006.0,AGO,0.6,0.0,0.0,0.0,2.64,0.0,0.0,0.0
29,29,2007.0,AGO,0.68,0.0,0.0,0.0,2.47,0.0,0.0,0.0
30,30,2008.0,AGO,0.96,0.0,0.0,0.0,3.1,0.0,0.0,0.0
31,31,2009.0,AGO,1.54,0.0,0.0,0.0,3.06,0.0,0.0,0.0
32,32,2010.0,AGO,1.64,0.0,0.0,0.0,3.67,0.01,0.0,0.0
33,33,2011.0,AGO,1.55,0.0,0.0,0.0,3.97,0.01,0.0,0.0
34,34,2012.0,AGO,2.29,0.0,0.0,0.0,3.73,0.01,0.0,0.0
35,35,2013.0,AGO,3.24,0.0,0.0,0.0,4.72,0.01,0.0,0.0
36,36,2014.0,AGO,3.07,0.0,0.0,0.0,4.99,0.02,0.0,1.14
37,37,2015.0,AGO,3.1,0.0,0.0,0.0,5.04,0.02,0.0,1.15
38,38,2016.0,AGO,3.23,0.0,0.0,0.0,5.76,0.02,0.0,1.2
39,39,2017.0,AGO,0.46,0.0,2.44,0.0,7.58,0.02,0.0,0.17
40,40,2018.0,AGO,0.46,0.0,2.4,0.0,8.65,0.02,0.0,0.17
41,41,2019.0,AGO,0.68,0.0,3.58,0.0,9.03,0.02,0.0,0.25
42,42,2020.0,AGO,0.65,0.0,3.4,0.0,10.08,0.02,0.0,0.24
43,43,2021.0,AGO,,,,,,,,
44,44,2000.0,ALB,0.18,0.0,0.0,0.0,4.59,0.0,0.0,0.0
45,45,2001.0,ALB,0.17,0.0,0.0,0.0,3.56,0.0,0.0,0.0
46,46,2002.0,ALB,0.23,0.0,0.0,0.0,3.51,0.0,0.0,0.0
47,47,2003.0,ALB,0.11,0.0,0.0,0.0,4.89,0.0,0.0,0.0
48,48,2004.0,ALB,0.14,0.0,0.0,0.0,5.47,0.0,0.0,0.0
49,49,2005.0,ALB,0.07,0.0,0.0,0.0,5.37,0.0,0.0,0.0
50,50,2006.0,ALB,0.09,0.0,0.0,0.0,5.43,0.0,0.0,0.0
51,51,2007.0,ALB,0.07,0.0,0.0,0.0,2.79,0.0,0.0,0.0
52,52,2008.0,ALB,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0
53,53,2009.0,ALB,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0
54,54,2010.0,ALB,0.0,0.0,0.0,0.0,7.57,0.0,0.0,0.0
55,55,2011.0,ALB,0.06,0.0,0.0,0.0,4.13,0.0,0.0,0.0
56,56,2012.0,ALB,0.0,0.0,0.0,0.0,4.72,0.0,0.0,0.0
57,57,2013.0,ALB,0.0,0.0,0.0,0.0,6.96,0.0,0.0,0.0
58,58,2014.0,ALB,0.0,0.0,0.0,0.0,4.72,0.0,0.0,0.0
59,59,2015.0,ALB,0.0,0.0,0.0,0.0,5.89,0.0,0.0,0.0
60,60,2016.0,ALB,0.0,0.0,0.0,0.0,7.78,0.0,0.0,0.0
61,61,2017.0,ALB,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0
62,62,2018.0,ALB,0.0,0.0,0.0,0.0,8.55,0.0,0.0,0.0
63,63,2019.0,ALB,0.0,0.0,0.0,0.0,5.18,0.02,0.0,0.0
64,64,2020.0,ALB,0.0,0.0,0.0,0.0,5.28,0.03,0.0,0.0
65,65,2000.0,ARE,0.003,0.0,39.941,0.0,0.0,0.0,0.0,0.0
66,66,2001.0,ARE,0.003,0.0,43.169,0.0,0.0,0.0,0.0,0.0
67,67,2002.0,ARE,0.003,0.0,46.853,0.0,0.0,0.0,0.0,0.0
68,68,2003.0,ARE,0.003,0.0,49.447,0.0,0.0,0.0,0.0,0.0
69,69,2004.0,ARE,0.003,0.0,52.414,0.0,0.0,0.0,0.0,0.0
70,70,2005.0,ARE,0.003,0.0,60.695,0.0,0.0,0.0,0.0,0.0
71,71,2006.0,ARE,0.003,0.0,62.435,0.0,0.0,0.0,0.0,0.0
72,72,2007.0,ARE,0.003,0.0,78.758,0.0,0.0,0.0,0.0,0.0
73,73,2008.0,ARE,0.003,0.0,80.46,0.0,0.0,0.0,0.0,0.0
74,74,2009.0,ARE,0.003,0.0,85.688,0.0,0.0,0.006,0.0,0.0
75,75,2010.0,ARE,0.003,0.0,93.927,0.0,0.0,0.018,0.0,0.0
76,76,2011.0,ARE,0.003,0.0,99.113,0.0,0.0,0.021,0.0,0.0
