id,anio,MAT,lim_sup,lim_inf
1,1961,0.038,0.06,0.009
2,1962,0.014,0.034,-0.012
3,1963,0.048,0.074,0.022
4,1964,-0.223,-0.197,-0.246
5,1965,-0.14,-0.113,-0.163
6,1966,-0.068,-0.042,-0.09
7,1967,-0.074,-0.052,-0.093
8,1968,-0.113,-0.097,-0.133
9,1969,0.032,0.05,0.014
10,1970,-0.027,-0.009,-0.048
11,1971,-0.186,-0.163,-0.204
12,1972,-0.065,-0.04,-0.08
13,1973,0.062,0.082,0.051
14,1974,-0.214,-0.197,-0.227
15,1975,-0.149,-0.134,-0.163
16,1976,-0.241,-0.227,-0.255
17,1977,0.047,0.064,0.034
18,1978,-0.062,-0.044,-0.077
19,1979,0.057,0.076,0.041
20,1980,0.092,0.107,0.077
21,1981,0.14,0.153,0.125
22,1982,0.011,0.03,-0.011
23,1983,0.194,0.211,0.174
24,1984,-0.014,0.006,-0.033
25,1985,-0.03,-0.013,-0.048
26,1986,0.045,0.067,0.024
27,1987,0.192,0.22,0.171
28,1988,0.198,0.221,0.175
29,1989,0.118,0.147,0.091
30,1990,0.296,0.33,0.267
31,1991,0.254,0.289,0.22
32,1992,0.105,0.139,0.071
33,1993,0.148,0.186,0.112
34,1994,0.208,0.247,0.174
35,1995,0.325,0.361,0.289
36,1996,0.183,0.217,0.146
37,1997,0.39,0.425,0.356
38,1998,0.539,0.578,0.5
39,1999,0.306,0.343,0.265
40,2000,0.294,0.338,0.259
41,2001,0.441,0.483,0.406
42,2002,0.496,0.538,0.463
43,2003,0.505,0.546,0.473
44,2004,0.447,0.483,0.413
45,2005,0.545,0.583,0.507
46,2006,0.506,0.544,0.468
47,2007,0.491,0.531,0.457
48,2008,0.395,0.432,0.355
49,2009,0.506,0.546,0.465
50,2010,0.56,0.603,0.523
51,2011,0.425,0.466,0.393
52,2012,0.47,0.509,0.437
53,2013,0.514,0.552,0.478
54,2014,0.579,0.616,0.545
55,2015,0.763,0.802,0.73
56,2016,0.797,0.835,0.762
57,2017,0.677,0.716,0.636
58,2018,0.597,0.636,0.56
59,2019,0.736,0.776,0.7
