anio,emision_co2,produccion_energia,var_emision_co2,var_produccion_energia
1980,4946.62713,296.33722758863627,0.003524202963691405,0.012731938047418095
1981,18701.974390117,291.2877731828766,0.013324140235435754,0.01251499149233782
1982,18327.413968122,290.120566575999,0.013057286293429358,0.01246484321252759
1983,18284.002342435,293.0466469371524,0.013026357869700605,0.012590560369913186
1984,18478.512213667,308.9210136622077,0.01316493558066364,0.013272592308087227
1985,19602.547366601,316.46426154850144,0.013965749531899,0.013596683093258264
1986,20027.312840344,326.7530652183027,0.014268371844456215,0.014038734913651893
1987,20511.371402668,334.3845057886132,0.014613237259841271,0.014366614840667419
1988,21163.840556468,347.4128631037936,0.015078086067950079,0.01492636981828625
1989,21842.542051064,354.00812437426225,0.015561623993056838,0.015209730969314859
1990,22158.630157995,357.8395221670434,0.015786819588754355,0.015374344506836444
1991,22144.802907335,355.1308303417983,0.015776968424218392,0.01525796730782842
1992,21974.86771129,353.9360512712327,0.015655898833606807,0.015206634394881319
1993,21766.142146958,354.5943271934621,0.01550719321398251,0.015234916795739729
1994,21891.921080269,360.67314352443657,0.015596803867442976,0.015496089222698644
1995,22064.884266997,368.5758304766361,0.01572003073683435,0.015835623075742634
1996,22552.701540911,377.75317101251113,0.0160675740299282,0.01622992159872477
1997,23042.161849148,382.30330146165056,0.01641628789567254,0.016425415021733142
1998,23112.850596809,386.7930944091841,0.016466649786201076,0.016618316082861663
1999,23152.164345777,386.6383613269632,0.01649465869550143,0.01661166807568162
2000,23494.916283117,399.8552158428318,0.016738850821093196,0.017179521714075552
2001,24258.080886456,405.5472603474746,0.017282564120314856,0.017424076738720852
2002,24463.109021826,407.35835876944304,0.017428635522771886,0.017501889415494246
2003,25016.047459541,423.1305352254321,0.017822574105511618,0.018179530814601063
2004,26169.805807764,445.4459056604958,0.01864456421783108,0.01913829632710973
2005,27602.319534239,461.3211349473828,0.01966515238582825,0.019820365324697106
2006,28689.676654606,473.69706390397073,0.02043983523243859,0.020352089138261486
2007,29632.540125273,482.36143932595513,0.021111574207371395,0.02072434844563886
2008,30083.781880617,495.3209866150806,0.021433059431491094,0.0212811470448239
2009,30795.450937338,493.0426729813034,0.021940084952709955,0.021183260767511126
2010,30621.827233626,518.7316575467809,0.021816387500868888,0.022286971437446818
2011,32519.305374489,534.1878726115885,0.023168237541680237,0.02295103775896169
2012,33633.324487296,546.3336053856784,0.023961915608731815,0.023472871341864987
2013,34423.41474807,554.1775530046207,0.02452481197537254,0.023809881497302492
2014,34839.904249264,563.3312418721082,0.024821538107316563,0.024203163841591595
2015,34894.260052604,568.5582919870983,0.024860263662768858,0.024427740681890533
2016,34751.60559312,564.5802759287474,0.02475863011415383,0.024256827785057788
2017,34572.38070396,578.2452544015487,0.024630942122125014,0.024843934780526215
2018,35002.900777162,600.7287295060831,0.024937664274014223,0.025809922801845537
2019,35584.933497695,611.5089686476265,0.025352330951886052,0.026273088830640983
2020,36294.74314987927,593.3498982950532,0.025858031748437618,0.0254928960731903
2021,36825.22225941846,601.5981400342334,0.026235969280594882,0.02584727646500914
2022,37355.70136895764,609.84638177341,0.026613906812752147,0.026201656856827828
2023,37886.180478496826,618.0946235125866,0.02699184434490941,0.026556037248646518
2024,38416.65958803601,626.3428652517632,0.027369781877066676,0.026910417640465204
2025,38947.1386975752,634.5911069909434,0.027747719409223943,0.027264798032284047
2026,39477.61780711438,642.83934873012,0.028125656941381205,0.027619178424102737
2027,40008.096916653565,651.0875904692966,0.02850359447353847,0.027973558815921423
2028,40538.57602619275,659.3358322084732,0.028881532005695734,0.02832793920774011
2029,41069.055135731935,667.5840739476535,0.029259469537852998,0.028682319599558952
